,strike,lastPrice
0,25.0,77.5
1,30.0,71.23
2,40.0,66.0
3,45.0,62.0
4,50.0,66.8
5,55.0,58.64
6,60.0,40.5
7,65.0,44.21
8,70.0,32.35
9,75.0,27.65
10,78.0,30.48
11,79.0,23.5
12,80.0,22.3
13,81.0,21.5
14,82.0,20.8
15,83.0,18.45
16,84.0,16.8
17,85.0,17.1
18,86.0,15.45
19,87.0,15.5
20,88.0,14.5
21,89.0,11.35
22,90.0,12.2
23,91.0,11.5
24,92.0,10.45
25,93.0,8.78
26,94.0,8.35
27,95.0,8.0
28,96.0,6.85
29,97.0,6.12
30,98.0,5.15
31,99.0,4.46
32,100.0,3.75
33,101.0,3.1
34,102.0,2.55
35,103.0,2.07
36,104.0,1.64
37,105.0,1.3
38,106.0,1.0
39,107.0,0.77
40,108.0,0.59
41,109.0,0.45
42,110.0,0.36
43,111.0,0.27
44,112.0,0.21
45,113.0,0.17
46,114.0,0.14
47,115.0,0.11
48,116.0,0.08
49,117.0,0.07
50,118.0,0.06
51,119.0,0.04
52,120.0,0.04
53,121.0,0.04
54,122.0,0.03
55,123.0,0.03
56,124.0,0.02
57,125.0,0.02
58,126.0,0.01
59,127.0,0.02
60,128.0,0.01
61,129.0,0.01
62,130.0,0.01
63,131.0,0.01
64,132.0,0.02
65,133.0,0.02
66,134.0,0.01
67,135.0,0.01
68,136.0,0.01
69,140.0,0.01
70,145.0,0.01
71,150.0,0.01
72,155.0,0.02
73,160.0,0.01
74,165.0,0.01
75,170.0,0.01
76,175.0,0.01
77,180.0,0.01
78,185.0,0.01
